date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:29	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1607045424-ssl-df	https://lala-html.netlify.app/robots.txt		(from )
14:31:29	36073/36073	---MCZ	200	added ('OK')	text/html	etag:%2285cdc3cb39ba517b5f10abeca390de9a-ssl-df%22	https://lala-html.netlify.app/	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/index.html	(from )
14:31:30	59290/59290	---MCZ	200	added ('OK')	text/css	etag:%22acbd96945faddce83ce29052019e692b-ssl-df%22	https://lala-html.netlify.app/assets/css/fontawesome.min.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/fontawesome.min.css	(from https://lala-html.netlify.app/)
14:31:30	153403/153403	---MCZ	200	added ('OK')	text/css	etag:%2252634865dc2d177739f5555600dfcaea-ssl-df%22	https://lala-html.netlify.app/assets/css/bootstrap.min.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/bootstrap.min.css	(from https://lala-html.netlify.app/)
14:31:31	20522/20522	---MCZ	200	added ('OK')	text/css	etag:%223b9cfae9a672dade63a823c3f8f0682c-ssl-df%22	https://lala-html.netlify.app/assets/css/lightgallery.min.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/lightgallery.min.css	(from https://lala-html.netlify.app/)
14:31:32	14966/14966	---MCZ	200	added ('OK')	text/css	etag:%226e2803e1be85a83f4557f1f69295d5d1-ssl-df%22	https://lala-html.netlify.app/assets/css/select2.min.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/select2.min.css	(from https://lala-html.netlify.app/)
14:31:33	1652/1652	---M-Z	200	added ('OK')	text/css	etag:%228c2a55e57218a9c5e33eb970f5166752-ssl-df%22	https://lala-html.netlify.app/assets/css/slick.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/slick.css	(from https://lala-html.netlify.app/)
14:31:33	19064/19064	---MCZ	200	added ('OK')	text/css	etag:%22cf201f3506d3889d7c54e86dc91433a5-ssl-df%22	https://lala-html.netlify.app/assets/css/jquery-ui.min.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/jquery-ui.min.css	(from https://lala-html.netlify.app/)
14:31:34	77749/77749	---MCZ	200	added ('OK')	text/css	etag:%222455f8ab80af0dd00a18af1b94070190-ssl-df%22	https://lala-html.netlify.app/assets/css/animate.min.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/animate.min.css	(from https://lala-html.netlify.app/)
14:31:34	26332/26332	---MCZ	200	added ('OK')	text/css	etag:%2292129962f9f5b79b0556fb70b6eec8f3-ssl-df%22	https://lala-html.netlify.app/assets/css/animated-headline.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/animated-headline.css	(from https://lala-html.netlify.app/)
14:31:35	153848/153848	---MCZ	200	added ('OK')	text/css	etag:%220d1adcb848a123b5e6f139a5673adffa-ssl-df%22	https://lala-html.netlify.app/assets/css/style.css	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/css/style.css	(from https://lala-html.netlify.app/)
14:31:35	775/775	---M--	200	added ('OK')	image/svg+xml	etag:%22cbc91025b77e7ba0fbda6f6d6f764379-ssl%22	https://lala-html.netlify.app/assets/img/logo-icon.svg	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/img/logo-icon.svg	(from https://lala-html.netlify.app/)
14:31:36	2931/2931	---M-Z	200	added ('OK')	image/svg+xml	etag:%229475f6cb594b33a41c20a98af39e70e4-ssl-df%22	https://lala-html.netlify.app/assets/img/logo.svg	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/assets/img/logo.svg	(from https://lala-html.netlify.app/)
14:31:37	43360/43360	---MCZ	200	added ('OK')	text/html	etag:%22a654170d933d1d8e2fd7c312fbae9625-ssl-df%22	https://lala-html.netlify.app/02_non_profit_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/02_non_profit_home.html	(from https://lala-html.netlify.app/)
14:31:37	91305/91305	---MCZ	200	added ('OK')	text/html	etag:%221c407e19fcbdb62c0f76a10e77beb73d-ssl-df%22	https://lala-html.netlify.app/01_agency_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/01_agency_home.html	(from https://lala-html.netlify.app/)
14:31:37	54453/54453	---MCZ	200	added ('OK')	text/html	etag:%222a0d55ced12504ced43d09f075944f81-ssl-df%22	https://lala-html.netlify.app/03_seo_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/03_seo_home.html	(from https://lala-html.netlify.app/)
14:31:38	62982/62982	---MCZ	200	added ('OK')	text/html	etag:%225ef966414bd8e1b40f7b184de8ac5f24-ssl-df%22	https://lala-html.netlify.app/04_medical_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/04_medical_home.html	(from https://lala-html.netlify.app/)
14:31:39	90552/90552	---MCZ	200	added ('OK')	text/html	etag:%228f14b77a2881558becd26adc92a8ece4-ssl-df%22	https://lala-html.netlify.app/05_insurance_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/05_insurance_home.html	(from https://lala-html.netlify.app/)
14:31:39	54227/54227	---MCZ	200	added ('OK')	text/html	etag:%225023d0262bd81d4c89d1ef7c882d12fc-ssl-df%22	https://lala-html.netlify.app/06_movers_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/06_movers_home.html	(from https://lala-html.netlify.app/)
14:31:40	47372/47372	---MCZ	200	added ('OK')	text/html	etag:%22de408d7798e1eb9016b61e78e1b5158e-ssl-df%22	https://lala-html.netlify.app/07_creative_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/07_creative_home.html	(from https://lala-html.netlify.app/)
14:31:40	7661/7661	---MCZ	200	added ('OK')	text/html	etag:%225f22b934226411d04d535ee8a0d839ba-ssl-df%22	https://lala-html.netlify.app/08_portfolio_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/08_portfolio_home.html	(from https://lala-html.netlify.app/)
14:31:41	11734/11734	---MCZ	200	added ('OK')	text/html	etag:%224d906986f9767df11d0dde7d78cccd69-ssl-df%22	https://lala-html.netlify.app/09_photography_home	E:/My%20Project/Template/landing-lala/lala-html.netlify.app/09_photography_home.html	(from https://lala-html.netlify.app/)
